agglosID,n1000000,n100000,n50000,n20000,n10000,n7500,n5000,n2500,n1500,n1000,n750,n500,n400,n300,n250,n200,n175,n150,n125,n100,n90,n80,n70,n60,n50,n40,n30,n20,n10,n5,n0,a1000000,a100000,a50000,a20000,a10000,a7500,a5000,a2500,a1500,a1000,a750,a500,a400,a300,a250,a200,a175,a150,a125,a100,a90,a80,a70,a60,a50,a40,a30,a20,a10,a5,a0,CITY,COUNTRY,NSMALL B
6793,0,0,0,0,0,0,0,0,0,0.000301205,0.000301205,0.001807229,0.003915663,0.006626506,0.012650602,0.017771084,0.024096386,0.029518072,0.039156627,0.059638554,0.068975904,0.084638554,0.102710843,0.124698795,0.160843373,0.222289157,0.327710843,0.520783133,0.777108434,0.973795181,3320,0,0,0,0,0,0,0,0,0,0.012044919,0.012044919,0.036440453,0.063381355,0.090268134,0.137448579,0.170325983,0.203749257,0.229019796,0.266248787,0.332109589,0.357448515,0.395549896,0.43422622,0.474773913,0.530996733,0.609469383,0.713664505,0.849413158,0.956778292,0.996627769,116347.7298,Nkhoma UA,MWI,534
6794,0,0,0,0,0,0,0,0,0,0.000118582,0.000415036,0.001422981,0.002964544,0.006166252,0.009071505,0.016482865,0.022945571,0.033736511,0.053006048,0.091070793,0.120834816,0.155342108,0.205442903,0.267283292,0.346970236,0.436380885,0.550337958,0.695600617,0.872998933,0.984643662,16866,0,0,0,0,0,0,0,0,0,0.003358443,0.008611944,0.021351146,0.035910317,0.058899648,0.075623858,0.110007318,0.135082448,0.171485839,0.226279209,0.313953848,0.372613901,0.43357398,0.511554124,0.594993456,0.685969075,0.769484964,0.852258605,0.926884082,0.981670901,0.998586984,809846.574,Nkhotakota,MWI,5852
6801,0,0,0,0,0,0,0,0,0,0.000155569,0.000933416,0.004200373,0.009645302,0.029558183,0.051493466,0.085563161,0.112165526,0.142345986,0.176104543,0.222775358,0.248444306,0.273490977,0.301182327,0.340696951,0.386123211,0.431082763,0.489265713,0.604542626,0.792003734,0.976042315,6428,0,0,0,0,0,0,0,0,0,0.002383691,0.011740286,0.04007459,0.075583863,0.175358042,0.26332561,0.37492945,0.448544323,0.521057474,0.589137692,0.666014193,0.701857026,0.733269806,0.763760571,0.801540573,0.83816246,0.867780731,0.89744231,0.939239347,0.97902801,0.99840374,436501.3002,Nkonsia,GHA,2482
6802,0,0,0,0,0,0,0,0,4.27E-05,0.00017075,0.000384189,0.001494066,0.002732007,0.005293264,0.008196022,0.012379407,0.016178605,0.020959618,0.028259199,0.043114488,0.052463075,0.065952361,0.082899343,0.116878682,0.168103816,0.239819005,0.345001281,0.56381798,0.809485187,0.973277555,23426,0,0,0,0,0,0,0,0,0.002183768,0.006634931,0.012151689,0.031684216,0.047795393,0.073909565,0.097172976,0.124929016,0.145794183,0.168596479,0.198081805,0.247069272,0.273247199,0.307048352,0.344276346,0.409175861,0.492083388,0.586902025,0.693998518,0.852730602,0.961936976,0.996411966,793202.3779,Nkopola UA,MWI,3938
6803,0,0,0,0,0,0,0,0,0,0.000166003,0.000608676,0.003818061,0.010181496,0.035192563,0.06374502,0.104581673,0.135292165,0.180168216,0.227423639,0.277058433,0.299136786,0.32331784,0.348716246,0.379316069,0.414508632,0.456285967,0.513999557,0.622177955,0.822211155,0.977644976,18072,0,0,0,0,0,0,0,0,0,0.002967676,0.007757337,0.032510899,0.069248687,0.18021281,0.282236019,0.401897356,0.477054222,0.572242984,0.657612451,0.730088777,0.757478121,0.784401802,0.809262573,0.835236055,0.860592424,0.885128738,0.911298684,0.945887255,0.984049276,0.998683536,1380359.762,Nkoranza,GHA,7491
6806,0,0,0,0,0,0,0,0,0,0.000152393,0.000152393,0.000761963,0.001676318,0.005028955,0.008381591,0.014934471,0.021334959,0.032307223,0.054861323,0.102560195,0.127552575,0.153611704,0.192471807,0.25266687,0.328558366,0.40963121,0.510972265,0.650563852,0.824138982,0.972569339,6562,0,0,0,0,0,0,0,0,0,0.004307098,0.004307098,0.011821558,0.020726849,0.045179302,0.065439865,0.097180655,0.123147561,0.161575308,0.228669218,0.345260544,0.397241486,0.44561946,0.50911677,0.594532255,0.685467696,0.765061633,0.842460147,0.917882724,0.97461897,0.997360275,299492.2552,Nkozi,UGA,2156
6808,0,0,0,0,0,0,0,0,0,0.000507786,0.000677048,0.004400812,0.006939743,0.013710223,0.022173324,0.036391334,0.052471225,0.073459716,0.100541638,0.142857143,0.167230873,0.197020988,0.225457007,0.266587678,0.323459716,0.376100203,0.451083277,0.574136764,0.778266757,0.966486121,5908,0,0,0,0,0,0,0,0,0,0.011071083,0.013549974,0.056464753,0.078513488,0.12257951,0.167280739,0.228170173,0.286122724,0.35172774,0.423118336,0.514698152,0.559234623,0.60819257,0.649196081,0.700369776,0.760661049,0.805922455,0.855745042,0.913779697,0.971347477,0.997056337,306413.9983,Nkrankwanta,GHA,1911
6811,0,0,0,0,0,0,0,0,0.000118807,0.000356422,0.000950457,0.003445408,0.00629678,0.015920162,0.032077938,0.061542117,0.089224189,0.126886064,0.171913984,0.243673518,0.277771177,0.315195438,0.357371985,0.400617797,0.455150291,0.512058928,0.582630391,0.699655459,0.869430914,0.98526791,8417,0,0,0,0,0,0,0,0,0.003189962,0.007090822,0.014019803,0.03474334,0.052723747,0.099308858,0.161770873,0.254968002,0.328781437,0.415850355,0.503743001,0.618229234,0.664288815,0.709691949,0.755014329,0.795210433,0.838068842,0.874741138,0.909574713,0.951031833,0.98702862,0.999055337,588891.0242,Nkwanta,GHA,3831
6812,0,0,0,0,0,0,0,0,0,0,0,0.000542152,0.002981838,0.006234752,0.011927352,0.024125779,0.036595283,0.053402006,0.080238547,0.119815668,0.145296828,0.166711846,0.195716996,0.240986717,0.301165628,0.368663594,0.463269179,0.618866902,0.847926267,0.98373543,3689,0,0,0,0,0,0,0,0,0,0,0,0.006489446,0.028876281,0.052223178,0.084528348,0.142158436,0.191929246,0.249083676,0.327068451,0.421158333,0.472459807,0.511025171,0.557305844,0.61921476,0.689825974,0.753988155,0.823582528,0.90422306,0.977160089,0.998463234,173778.772,Nkwatanum-Essiam,GHA,1111
6813,0,0,0,0,0,0,0,0,0,0.00010277,0.000616618,0.004573249,0.009763116,0.027747803,0.048455886,0.083962797,0.110682904,0.148450748,0.197831561,0.259339191,0.288731309,0.321566209,0.356507888,0.401469606,0.455063974,0.514362057,0.594573763,0.724320436,0.8923488,0.986434407,19461,0,0,0,0,0,0,0,0,0,0.001661206,0.007469,0.038622337,0.068677132,0.149672867,0.224784658,0.3295805,0.395685733,0.47647947,0.565633685,0.656664681,0.693540889,0.730473004,0.765151347,0.803734134,0.842639363,0.877749061,0.914616642,0.956919808,0.990024814,0.999203558,1471043.229,Nkwatia,GHA,8856
6815,0,0,0,0,0,0,0,5.18E-05,0.000207029,0.0007246,0.001397443,0.003623001,0.005589773,0.010144402,0.019357176,0.039335438,0.05367217,0.078877905,0.111277884,0.158066353,0.182806273,0.212049066,0.24563946,0.290047099,0.357797215,0.477200973,0.591325501,0.722322861,0.884840329,0.982661353,19321,0,0,0,0,0,0,0,0.002782873,0.007130355,0.01747159,0.02739845,0.050047095,0.064943945,0.091212515,0.133645118,0.209574074,0.255301567,0.325101821,0.400960974,0.490603626,0.530793376,0.57326814,0.616265487,0.665668073,0.728919135,0.820304979,0.889338669,0.94482559,0.986561315,0.998687617,1128367.364,Nkwenkwezi,ZAF,6913
